,full_name,team,position,height,inches,weight,birth_date,age,years_exp,college,number,nflfastr_name
0,A'Shawn Robinson,LA,NT,"6'4""",76,330,1995-03-21,25.0,4.0,Alabama,94,A.Robinson
1,A.J. Bouye,DEN,CB,"6'0""",72,186,1991-08-16,29.0,7.0,Central Florida,21,A.Bouye
2,A.J. Brown,TEN,WR,"6'0""",72,226,1997-06-30,23.0,1.0,Mississippi,11,A.Brown
3,A.J. Cann,JAX,G,"6'3""",75,315,1991-10-23,28.0,5.0,South Carolina,60,A.Cann
4,A.J. Dillon,GB,RB,"6'0""",72,247,1998-05-02,22.0,0.0,Boston College,28,A.Dillon
5,A.J. Epenesa,BUF,DE,"6'5""",77,275,1998-09-15,21.0,0.0,Iowa,57,A.Epenesa
6,A.J. Green,CLE,CB,"6'1""",73,194,1998-06-09,22.0,0.0,Oklahoma State,38,A.Green
7,A.J. Green,CIN,WR,"6'4""",76,210,1988-07-31,32.0,9.0,Georgia,18,A.Green
8,A.J. Klein,BUF,OLB,"6'1""",73,240,1991-07-30,29.0,7.0,Iowa State,54,A.Klein
9,A.J. Moore Jr.,HOU,SS,"5'11""",71,200,1995-12-15,24.0,2.0,Mississippi,33,A.MooreJr.
10,A.J. Richardson,ARI,WR,"6'0""",72,212,1995-06-02,25.0,1.0,Boise State,83,A.Richardson
11,A.J. Terrell,ATL,CB,"6'1""",73,195,1998-09-23,21.0,0.0,Clemson,24,A.Terrell
12,AJ Cole,LV,P,"6'4""",76,220,1995-11-27,24.0,1.0,North Carolina State,6,A.Cole
13,AJ Hughes,PIT,P,"6'0""",72,200,1993-12-07,24.0,1.0,Virginia Tech,0,A.Hughes
14,AJ McCarron,HOU,QB,"6'3""",75,215,1990-09-13,29.0,6.0,Alabama,2,A.McCarron
15,Aaron Adeoye,BAL,DE,"6'6""",78,250,1993-08-26,26.0,1.0,Southeast Missouri State,51,A.Adeoye
16,Aaron Brewer,ARI,LS,"6'5""",77,232,1990-07-05,30.0,8.0,San Diego State,46,A.Brewer
17,Aaron Brewer,TEN,C,"6'1""",73,274,1997-10-28,22.0,0.0,Texas State,62,A.Brewer
18,Aaron Colvin,WAS,CB,"6'0""",72,191,1991-10-02,28.0,6.0,Oklahoma,34,A.Colvin
19,Aaron Crawford,BAL,DT,"6'1""",73,315,1997-11-04,22.0,0.0,North Carolina,69,A.Crawford
20,Aaron Donald,LA,DT,"6'1""",73,280,1991-05-23,29.0,6.0,Pittsburgh,99,A.Donald
21,Aaron Fuller,SEA,WR,"5'11""",71,186,1997-09-30,22.0,0.0,Washington,2,A.Fuller
22,Aaron Jones,GB,RB,"5'9""",69,208,1994-12-02,25.0,3.0,Texas-El Paso,33,A.Jones
23,Aaron Lacombe,LA,WR,"6'3""",75,201,1995-04-06,23.0,1.0,Cal Lutheran,28,A.Lacombe
24,Aaron Lynch,JAX,OLB,"6'5""",77,285,1993-02-08,27.0,6.0,South Florida,59,A.Lynch
25,Aaron Monteiro,CAR,OT,"6'7""",79,320,1997-03-25,23.0,1.0,Boston College,62,A.Monteiro
26,Aaron Parker,DAL,WR,"6'2""",74,209,1998-05-21,22.0,0.0,Rhode Island,18,A.Parker
27,Aaron Rodgers,GB,QB,"6'2""",74,225,1983-12-02,36.0,15.0,California,12,A.Rodgers
28,Aaron Stinnie,TB,G,"6'3""",75,312,1994-02-18,26.0,2.0,James Madison,64,A.Stinnie
